2395  transactions
creator transferOwnership  success
user5 purchaseEstate 61 success
user5 withdrawRent  success
user2 purchaseEstate 118 success
user6 purchaseEstate 2 success
user6 purchaseEstate 49 success
creator purchaseEstate 97 success
creator purchaseEstate 98 success
user7 purchaseEstate 53 success
user6 purchaseEstate 123 success
creator purchaseEstate 149 success
creator purchaseEstate 72 success
user8 purchaseEstate 2 success
user9 purchaseEstate 32 success
user9 purchaseEstate 2 success
user8 purchaseEstate 129 success
user8 purchaseEstate 94 success
user8 purchaseEstate 48 success
user6 purchaseEstate 112 success
user9 purchaseEstate 4 success
user6 purchaseEstate 48 fail
user9 purchaseEstate 61 success
user7 purchaseEstate 2 fail
user9 purchaseEstate 65 success
user9 purchaseEstate 107 success
user10 purchaseEstate 55 success
user11 purchaseEstate 125 success
user12 purchaseEstate 125 fail
user9 purchaseEstate 129 success
user13 purchaseEstate 51 success
user9 purchaseEstate 88 success
user14 purchaseEstate 88 fail
user15 purchaseEstate 83 success
user16 purchaseEstate 2 success
user13 purchaseEstate 62 success
user9 purchaseEstate 100 success
user13 purchaseEstate 55 success
user12 purchaseEstate 34 success
user17 purchaseEstate 127 success
user10 purchaseEstate 62 success
user13 purchaseEstate 139 success
user9 purchaseEstate 96 success
user6 purchaseEstate 127 fail
user13 purchaseEstate 49 success
user16 purchaseEstate 29 success
user8 purchaseEstate 92 success
user15 purchaseEstate 81 success
user10 purchaseEstate 139 fail
user13 purchaseEstate 62 success
user6 purchaseEstate 91 success
user13 purchaseEstate 10 success
user16 purchaseEstate 89 success
user8 purchaseEstate 57 success
user14 purchaseEstate 91 fail
user10 purchaseEstate 10 fail
user17 purchaseEstate 52 success
user10 purchaseEstate 55 success
user16 purchaseEstate 69 success
user13 purchaseEstate 97 success
user13 purchaseEstate 141 success
user9 purchaseEstate 2 success
user18 purchaseEstate 61 success
user8 purchaseEstate 67 success
user14 purchaseEstate 39 success
user12 purchaseEstate 122 success
user16 purchaseEstate 88 success
user14 purchaseEstate 4 success
user19 purchaseEstate 92 success
user10 purchaseEstate 139 success
user6 purchaseEstate 77 success
user15 purchaseEstate 67 fail
user16 purchaseEstate 150 success
user12 purchaseEstate 106 success
user14 purchaseEstate 56 success
user10 purchaseEstate 10 success
user13 purchaseEstate 97 fail
user13 purchaseEstate 55 success
user13 purchaseEstate 139 success
user20 purchaseEstate 98 success
user21 purchaseEstate 76 success
user6 purchaseEstate 58 success
user9 purchaseEstate 47 success
user13 purchaseEstate 3 success
user22 purchaseEstate 98 fail
user19 purchaseEstate 112 success
user21 purchaseEstate 54 success
user19 purchaseEstate 51 success
user20 purchaseEstate 51 fail
user13 purchaseEstate 10 success
user9 purchaseEstate 72 success
user12 purchaseEstate 13 success
user17 purchaseEstate 117 success
user22 purchaseEstate 72 fail
user17 purchaseEstate 119 success
user9 purchaseEstate 4 success
user12 purchaseEstate 21 success
user22 purchaseEstate 112 fail
user22 purchaseEstate 127 success
user9 purchaseEstate 61 success
user9 purchaseEstate 6 success
user9 purchaseEstate 124 success
user10 purchaseEstate 139 success
user10 purchaseEstate 97 success
user22 purchaseEstate 63 success
user10 purchaseEstate 98 success
user23 purchaseEstate 3 success
user21 purchaseEstate 63 fail
user13 purchaseEstate 51 success
user9 purchaseEstate 104 success
user24 purchaseEstate 139 fail
user15 purchaseEstate 106 fail
user20 purchaseEstate 51 fail
user16 purchaseEstate 2 success
user22 purchaseEstate 49 success
user14 purchaseEstate 99 success
creator withdrawRent  success
user8 purchaseEstate 63 fail
user22 purchaseEstate 112 success
user17 purchaseEstate 121 success
user25 purchaseEstate 3 success
user9 purchaseEstate 86 success
user18 purchaseEstate 111 success
user15 purchaseEstate 85 success
user16 purchaseEstate 41 success
user8 purchaseEstate 126 success
user10 purchaseEstate 49 success
user8 purchaseEstate 46 success
user10 purchaseEstate 112 success
user15 purchaseEstate 150 success
user8 purchaseEstate 58 success
user9 purchaseEstate 16 success
user15 purchaseEstate 118 success
user15 purchaseEstate 2 fail
user15 purchaseEstate 67 success
user22 purchaseEstate 72 success
user17 purchaseEstate 95 success
user10 purchaseEstate 4 success
user20 purchaseEstate 112 success
user26 purchaseEstate 97 success
user13 purchaseEstate 97 fail
user9 purchaseEstate 29 success
user23 withdrawRent  success
user12 purchaseEstate 95 fail
user27 purchaseEstate 62 success
user22 purchaseEstate 97 fail
user17 purchaseEstate 128 success
user16 purchaseEstate 64 success
user18 purchaseEstate 103 success
user24 purchaseEstate 10 success
user28 purchaseEstate 98 success
user8 purchaseEstate 12 success
user9 purchaseEstate 38 success
user20 purchaseEstate 1 success
user9 purchaseEstate 144 success
user22 purchaseEstate 77 success
user26 purchaseEstate 127 success
user21 purchaseEstate 111 success
user14 purchaseEstate 77 fail
user17 purchaseEstate 137 success
user9 purchaseEstate 30 success
user22 purchaseEstate 129 success
user20 purchaseEstate 127 fail
user14 purchaseEstate 114 success
user26 purchaseEstate 149 success
user13 purchaseEstate 72 fail
user12 purchaseEstate 128 fail
user10 purchaseEstate 72 success
user26 purchaseEstate 1 success
user29 purchaseEstate 97 fail
user23 purchaseEstate 72 fail
user10 purchaseEstate 127 fail
user26 purchaseEstate 77 fail
user16 purchaseEstate 93 success
user27 purchaseEstate 57 success
user25 withdrawRent  success
user8 purchaseEstate 109 success
user22 purchaseEstate 114 success
user28 purchaseEstate 127 success
user10 purchaseEstate 10 success
user20 purchaseEstate 128 success
user14 purchaseEstate 48 success
user17 purchaseEstate 17 success
user13 purchaseEstate 62 success
user9 purchaseEstate 127 fail
user15 purchaseEstate 110 success
user13 purchaseEstate 139 success
user8 purchaseEstate 78 success
user16 purchaseEstate 87 success
user21 purchaseEstate 130 success
user15 purchaseEstate 129 success
user22 withdrawRent  success
user22 purchaseEstate 48 success
user26 purchaseEstate 126 success
user26 purchaseEstate 121 success
user14 purchaseEstate 63 success
user12 purchaseEstate 120 success
user17 purchaseEstate 79 success
user13 purchaseEstate 10 success
user9 purchaseEstate 110 fail
user29 purchaseEstate 97 fail
user19 purchaseEstate 97 success
user22 purchaseEstate 39 success
user10 purchaseEstate 63 fail
user20 purchaseEstate 57 success
user30 purchaseEstate 50 success
user23 purchaseEstate 97 fail
user1 transferOwnership  success
user22 purchaseEstate 76 success
user10 purchaseEstate 57 fail
user20 purchaseEstate 100 success
user15 purchaseEstate 50 fail
user26 purchaseEstate 114 success
user22 purchaseEstate 95 success
user22 purchaseEstate 119 success
user22 purchaseEstate 91 success
user22 purchaseEstate 123 success
user22 purchaseEstate 126 fail
user22 purchaseEstate 121 fail
user10 purchaseEstate 123 fail
user20 purchaseEstate 63 success
user26 purchaseEstate 39 fail
user26 purchaseEstate 123 fail
user26 purchaseEstate 95 fail
user26 purchaseEstate 76 fail
user22 purchaseEstate 49 success
user20 purchaseEstate 118 success
user14 purchaseEstate 76 fail
user19 purchaseEstate 55 success
user31 purchaseEstate 55 fail
user21 purchaseEstate 50 fail
user12 purchaseEstate 5 success
user17 purchaseEstate 116 success
user24 purchaseEstate 139 success
user28 purchaseEstate 63 fail
user9 purchaseEstate 84 success
user13 purchaseEstate 97 fail
user20 purchaseEstate 52 success
user32 purchaseEstate 53 success
user14 purchaseEstate 119 fail
user17 purchaseEstate 101 success
user12 purchaseEstate 5 fail
user9 purchaseEstate 9 success
user10 purchaseEstate 10 success
user14 purchaseEstate 77 success
user26 purchaseEstate 71 success
user29 purchaseEstate 49 fail
user33 purchaseEstate 88 success
user21 purchaseEstate 73 success
user32 purchaseEstate 52 fail
user15 purchaseEstate 133 success
user26 purchaseEstate 120 success
user16 purchaseEstate 33 success
user8 withdrawRent  success
user20 purchaseEstate 16 success
user32 purchaseEstate 17 fail
user17 purchaseEstate 73 fail
user13 purchaseEstate 63 success
user26 purchaseEstate 124 success
user15 purchaseEstate 28 success
user27 purchaseEstate 97 fail
user34 purchaseEstate 120 fail
user26 purchaseEstate 111 success
user34 purchaseEstate 50 fail
user26 purchaseEstate 26 success
user22 purchaseEstate 51 success
user10 purchaseEstate 57 success
user21 purchaseEstate 18 success
user12 purchaseEstate 75 success
user35 purchaseEstate 132 success
user20 purchaseEstate 120 success
user10 purchaseEstate 141 success
user14 purchaseEstate 39 success
user28 purchaseEstate 123 success
user17 purchaseEstate 115 success
user31 purchaseEstate 62 success
user10 purchaseEstate 48 success
user14 purchaseEstate 76 success
user17 purchaseEstate 44 success
user36 purchaseEstate 51 success
user19 purchaseEstate 123 fail
user10 purchaseEstate 121 success
user18 purchaseEstate 52 success
user13 purchaseEstate 55 success
user25 purchaseEstate 49 success
user29 purchaseEstate 51 fail
user35 purchaseEstate 52 fail
user22 purchaseEstate 58 success
user32 purchaseEstate 96 success
user20 purchaseEstate 96 fail
user37 purchaseEstate 128 success
user33 purchaseEstate 52 fail
user21 purchaseEstate 71 success
user17 purchaseEstate 90 success
user28 purchaseEstate 91 success
user12 purchaseEstate 56 success
user13 purchaseEstate 51 fail
user29 purchaseEstate 55 fail
user31 purchaseEstate 55 success
user22 purchaseEstate 128 fail
user20 purchaseEstate 57 success
user21 purchaseEstate 58 fail
user14 purchaseEstate 119 success
user38 purchaseEstate 82 success
user26 purchaseEstate 75 fail
user26 purchaseEstate 141 fail
user25 purchaseEstate 97 success
user35 purchaseEstate 52 success
user22 purchaseEstate 126 success
user22 purchaseEstate 121 fail
user10 purchaseEstate 77 success
user10 purchaseEstate 58 success
user20 purchaseEstate 111 success
user26 purchaseEstate 95 success
user26 purchaseEstate 55 fail
user26 purchaseEstate 58 fail
user23 purchaseEstate 97 fail
user37 purchaseEstate 95 fail
user36 purchaseEstate 62 success
user36 purchaseEstate 55 fail
user36 purchaseEstate 139 success
user36 purchaseEstate 49 success
user36 purchaseEstate 10 success
user33 purchaseEstate 17 success
user26 purchaseEstate 119 fail
user21 purchaseEstate 45 success
user17 purchaseEstate 70 success
user17 purchaseEstate 11 success
user22 purchaseEstate 49 fail
user39 purchaseEstate 55 success
user36 purchaseEstate 97 fail
user40 purchaseEstate 88 success
user20 purchaseEstate 115 success
user22 purchaseEstate 97 success
user29 purchaseEstate 97 fail
user10 purchaseEstate 91 success
user26 purchaseEstate 56 success
user10 purchaseEstate 128 success
user12 purchaseEstate 44 success
user13 purchaseEstate 49 fail
user38 purchaseEstate 143 success
user41 purchaseEstate 80 success
user42 purchaseEstate 90 success
user43 purchaseEstate 139 fail
user26 purchaseEstate 23 success
user25 withdrawRent  success
user10 purchaseEstate 49 success
user35 purchaseEstate 54 fail
user29 purchaseEstate 51 fail
user10 purchaseEstate 114 success
user19 purchaseEstate 53 success
user13 purchaseEstate 51 success
user13 purchaseEstate 62 fail
user44 purchaseEstate 52 success
user18 purchaseEstate 67 success
user10 purchaseEstate 76 success
user10 purchaseEstate 95 success
user14 purchaseEstate 53 fail
user22 purchaseEstate 92 success
user22 purchaseEstate 114 fail
user22 purchaseEstate 76 fail
user22 purchaseEstate 128 success
user22 purchaseEstate 95 fail
user37 purchaseEstate 67 fail
user40 purchaseEstate 2 success
user17 purchaseEstate 67 fail
user44 purchaseEstate 1 success
user17 purchaseEstate 15 success
user21 purchaseEstate 50 success
user35 purchaseEstate 36 fail
user13 purchaseEstate 55 fail
user38 purchaseEstate 68 success
user26 purchaseEstate 116 success
user42 purchaseEstate 70 fail
user12 withdrawRent  success
user45 purchaseEstate 31 success
user31 withdrawRent  success
user46 purchaseEstate 60 success
user24 withdrawRent  success
user26 purchaseEstate 12 success
user12 purchaseEstate 113 success
user42 purchaseEstate 113 fail
user47 purchaseEstate 80 success
user34 purchaseEstate 5 fail
user8 purchaseEstate 76 fail
user19 purchaseEstate 49 fail
user10 purchaseEstate 124 success
user26 purchaseEstate 96 success
user7 purchaseEstate 45 fail
user34 purchaseEstate 75 fail
user42 purchaseEstate 73 success
user16 purchaseEstate 84 fail
user8 purchaseEstate 123 fail
user27 purchaseEstate 48 fail
user26 purchaseEstate 51 success
user22 purchaseEstate 119 success
user13 purchaseEstate 55 success
user8 purchaseEstate 54 success
user34 purchaseEstate 148 success
user7 withdrawRent  success
user16 purchaseEstate 60 fail
user27 purchaseEstate 55 fail
user37 purchaseEstate 121 success
user20 purchaseEstate 80 fail
user14 purchaseEstate 114 success
user42 purchaseEstate 66 success
user35 purchaseEstate 52 success
user22 purchaseEstate 123 success
user10 purchaseEstate 126 success
user33 purchaseEstate 88 success
user28 purchaseEstate 39 success
user44 purchaseEstate 92 fail
user17 purchaseEstate 93 success
user22 purchaseEstate 1 fail
user29 purchaseEstate 97 fail
user25 purchaseEstate 97 success
user41 purchaseEstate 38 success
user13 purchaseEstate 10 success
user12 purchaseEstate 47 success
user22 purchaseEstate 121 fail
user22 purchaseEstate 72 success
user22 purchaseEstate 4 success
user22 purchaseEstate 63 success
user19 purchaseEstate 97 fail
user25 purchaseEstate 4 fail
user37 purchaseEstate 5 success
user25 purchaseEstate 127 success
user20 purchaseEstate 109 success
user13 purchaseEstate 139 success
user17 purchaseEstate 99 success
user38 purchaseEstate 7 success
user8 purchaseEstate 119 fail
user34 purchaseEstate 134 success
user26 purchaseEstate 108 success
user26 purchaseEstate 46 success
user34 purchaseEstate 108 fail
user8 purchaseEstate 116 fail
user24 purchaseEstate 98 success
user27 purchaseEstate 51 fail
user16 purchaseEstate 132 fail
user23 purchaseEstate 98 fail
user27 purchaseEstate 51 fail
user27 purchaseEstate 62 fail
user27 purchaseEstate 139 fail
user27 purchaseEstate 97 fail
user33 purchaseEstate 107 success
user48 purchaseEstate 70 success
user12 purchaseEstate 54 success
user34 purchaseEstate 7 fail
user8 purchaseEstate 52 fail
user26 purchaseEstate 13 success
user7 purchaseEstate 136 success
user42 purchaseEstate 143 success
user26 purchaseEstate 123 success
user35 purchaseEstate 16 fail
user43 purchaseEstate 97 fail
user25 purchaseEstate 98 success
user10 purchaseEstate 67 success
user41 purchaseEstate 65 success
user14 purchaseEstate 123 fail
user20 withdrawRent  success
user9 purchaseEstate 129 success
user17 purchaseEstate 103 success
user26 purchaseEstate 32 success
user10 purchaseEstate 53 success
user10 purchaseEstate 120 success
user10 purchaseEstate 129 fail
user10 purchaseEstate 92 success
user19 purchaseEstate 97 success
user21 purchaseEstate 115 success
user49 purchaseEstate 96 success
user14 purchaseEstate 56 success
user38 purchaseEstate 74 success
user17 purchaseEstate 130 success
user26 purchaseEstate 17 success
user18 purchaseEstate 137 success
user37 purchaseEstate 67 success
user10 purchaseEstate 119 success
user21 purchaseEstate 66 success
user25 purchaseEstate 62 success
user17 purchaseEstate 78 success
user34 purchaseEstate 145 success
user8 purchaseEstate 18 success
user31 purchaseEstate 62 fail
user10 purchaseEstate 115 fail
user21 purchaseEstate 11 success
user49 purchaseEstate 145 fail
user26 purchaseEstate 71 success
user27 purchaseEstate 62 fail
user12 purchaseEstate 94 success
user9 purchaseEstate 145 fail
user35 purchaseEstate 11 fail
user19 purchaseEstate 123 success
user28 purchaseEstate 4 success
user13 purchaseEstate 51 success
user38 purchaseEstate 25 success
user14 purchaseEstate 99 success
user17 purchaseEstate 74 success
user20 purchaseEstate 101 success
user31 purchaseEstate 51 success
user10 purchaseEstate 111 success
user49 purchaseEstate 46 success
user29 purchaseEstate 62 fail
user48 purchaseEstate 94 success
user28 purchaseEstate 91 success
user22 purchaseEstate 7 success
user17 purchaseEstate 149 success
user36 purchaseEstate 62 success
user41 purchaseEstate 64 success
user20 purchaseEstate 45 success
user10 purchaseEstate 56 success
user36 purchaseEstate 51 fail
user21 purchaseEstate 94 fail
user22 purchaseEstate 82 success
user49 purchaseEstate 74 success
user46 purchaseEstate 147 success
user27 purchaseEstate 49 success
user10 purchaseEstate 32 success
user10 purchaseEstate 39 success
user10 purchaseEstate 41 success
user27 purchaseEstate 5 success
user44 purchaseEstate 107 success
user34 purchaseEstate 105 success
user9 purchaseEstate 147 fail
user18 purchaseEstate 99 success
user32 withdrawRent  success
user41 purchaseEstate 45 success
user22 purchaseEstate 131 success
user22 purchaseEstate 75 success
user22 purchaseEstate 110 success
user22 purchaseEstate 87 success
user22 purchaseEstate 138 success
user22 purchaseEstate 138 fail
user22 purchaseEstate 134 success
user22 purchaseEstate 23 success
user22 purchaseEstate 105 fail
user22 purchaseEstate 142 success
user22 purchaseEstate 108 success
user22 purchaseEstate 9 success
user22 purchaseEstate 122 success
user22 purchaseEstate 41 fail
user22 purchaseEstate 65 success
user22 purchaseEstate 102 success
user22 purchaseEstate 127 success
user31 purchaseEstate 62 fail
user38 purchaseEstate 117 success
user14 purchaseEstate 45 fail
user46 purchaseEstate 36 success
user44 purchaseEstate 117 fail
user9 purchaseEstate 146 success
user9 purchaseEstate 101 success
user34 purchaseEstate 138 fail
user23 purchaseEstate 3 success
user10 purchaseEstate 99 fail
user48 purchaseEstate 79 success
user44 purchaseEstate 95 fail
user27 purchaseEstate 62 fail
user8 purchaseEstate 130 fail
user42 purchaseEstate 122 fail
user45 purchaseEstate 66 fail
user22 purchaseEstate 112 success
user22 purchaseEstate 3 fail
user10 purchaseEstate 96 success
user10 purchaseEstate 116 success
user10 purchaseEstate 139 success
user14 purchaseEstate 1 success
user27 purchaseEstate 55 success
user29 purchaseEstate 3 fail
user36 purchaseEstate 14 success
user20 purchaseEstate 117 success
user21 purchaseEstate 113 success
user46 purchaseEstate 20 success
user9 purchaseEstate 16 success
user18 purchaseEstate 45 fail
user26 purchaseEstate 136 success
user36 purchaseEstate 22 success
user36 purchaseEstate 24 success
user36 purchaseEstate 135 success
user21 purchaseEstate 26 success
user49 purchaseEstate 16 fail
user17 purchaseEstate 101 fail
user46 purchaseEstate 140 success
user50 purchaseEstate 102 fail
user24 purchaseEstate 4 success
user34 purchaseEstate 142 fail
user31 purchaseEstate 10 success
user29 purchaseEstate 72 success
user39 purchaseEstate 51 success
user10 purchaseEstate 137 success
user28 purchaseEstate 48 success
user21 purchaseEstate 146 success
user20 purchaseEstate 79 success
user38 purchaseEstate 15 success
user17 purchaseEstate 113 fail
user27 purchaseEstate 41 success
user18 purchaseEstate 15 fail
user9 purchaseEstate 150 success
user47 purchaseEstate 131 fail
user29 purchaseEstate 72 fail
user10 purchaseEstate 18 success
user7 purchaseEstate 19 success
user12 withdrawRent  success
user13 purchaseEstate 51 fail
user25 withdrawRent  success
user42 purchaseEstate 87 fail
user51 purchaseEstate 6 success
user17 withdrawRent  success
user25 purchaseEstate 77 success
user44 purchaseEstate 77 fail
user38 purchaseEstate 5 success
user17 purchaseEstate 66 success
user49 purchaseEstate 50 success
user27 purchaseEstate 77 fail
user19 purchaseEstate 15 success
user49 purchaseEstate 66 fail
user14 purchaseEstate 137 success
user12 purchaseEstate 79 fail
user52 purchaseEstate 81 success
user7 purchaseEstate 27 success
user8 purchaseEstate 44 fail
user13 purchaseEstate 62 fail
user26 purchaseEstate 86 success
user34 purchaseEstate 138 fail
user42 purchaseEstate 117 fail
user18 purchaseEstate 144 success
user13 purchaseEstate 51 fail
user8 purchaseEstate 67 fail
user12 purchaseEstate 45 fail
user26 purchaseEstate 34 success
user22 purchaseEstate 98 success
user22 purchaseEstate 4 success
user29 purchaseEstate 62 success
user20 purchaseEstate 72 success
user41 purchaseEstate 15 success
user21 purchaseEstate 80 success
user13 purchaseEstate 62 fail
user44 purchaseEstate 141 success
user38 purchaseEstate 40 success
user49 purchaseEstate 38 success
user14 purchaseEstate 18 success
user8 purchaseEstate 95 fail
user32 purchaseEstate 8 success
user10 purchaseEstate 16 success
user10 purchaseEstate 90 success
user20 purchaseEstate 103 success
user25 purchaseEstate 49 success
user28 purchaseEstate 95 success
user28 purchaseEstate 129 success
user53 purchaseEstate 124 success
user32 purchaseEstate 37 success
user26 withdrawRent  success
user12 purchaseEstate 15 fail
user8 purchaseEstate 126 fail
user10 purchaseEstate 80 fail
user19 purchaseEstate 94 success
user46 purchaseEstate 42 success
user27 purchaseEstate 17 success
user18 purchaseEstate 80 fail
user13 purchaseEstate 98 fail
user29 purchaseEstate 127 fail
user25 purchaseEstate 97 success
user20 purchaseEstate 12 success
user21 purchaseEstate 47 success
user38 purchaseEstate 43 success
user17 purchaseEstate 47 fail
user22 purchaseEstate 31 success
user31 purchaseEstate 97 fail
user10 purchaseEstate 54 success
user21 purchaseEstate 14 success
user41 purchaseEstate 47 fail
user17 purchaseEstate 90 success
user22 purchaseEstate 59 success
user31 purchaseEstate 3 success
user35 purchaseEstate 147 fail
user20 purchaseEstate 70 success
user47 purchaseEstate 79 fail
user38 purchaseEstate 115 success
user14 purchaseEstate 115 fail
user10 purchaseEstate 11 success
user53 purchaseEstate 149 success
user10 purchaseEstate 69 success
user47 purchaseEstate 126 success
user21 purchaseEstate 47 fail
user17 purchaseEstate 12 fail
user22 purchaseEstate 14 fail
user12 purchaseEstate 35 success
user46 purchaseEstate 42 fail
user27 purchaseEstate 149 fail
user9 purchaseEstate 37 fail
user52 purchaseEstate 149 fail
user13 purchaseEstate 1 success
user10 purchaseEstate 47 fail
user10 purchaseEstate 117 success
user10 purchaseEstate 103 success
user10 purchaseEstate 73 success
user28 purchaseEstate 76 success
user44 purchaseEstate 58 success
user20 purchaseEstate 73 fail
user29 purchaseEstate 127 fail
user41 purchaseEstate 89 success
user21 purchaseEstate 100 success
user17 purchaseEstate 70 fail
user13 purchaseEstate 51 success
user22 purchaseEstate 68 success
user49 purchaseEstate 80 success
user12 purchaseEstate 100 fail
user35 purchaseEstate 7 fail
user6 purchaseEstate 121 success
user10 purchaseEstate 100 fail
user20 purchaseEstate 113 success
user14 purchaseEstate 116 success
user45 purchaseEstate 113 fail
user9 purchaseEstate 42 fail
user10 purchaseEstate 44 success
user13 purchaseEstate 3 fail
user13 purchaseEstate 55 success
user6 purchaseEstate 95 fail
user22 purchaseEstate 30 success
user22 purchaseEstate 104 success
user22 purchaseEstate 148 success
user22 purchaseEstate 147 success
user22 purchaseEstate 36 success
user22 purchaseEstate 140 success
user17 purchaseEstate 73 fail
user38 purchaseEstate 78 success
user49 purchaseEstate 45 success
user10 purchaseEstate 3 success
user13 purchaseEstate 129 success
user13 purchaseEstate 4 success
user49 purchaseEstate 47 success
user49 purchaseEstate 36 fail
user22 purchaseEstate 106 success
user22 purchaseEstate 42 fail
user22 purchaseEstate 43 fail
user22 purchaseEstate 22 success
user22 purchaseEstate 24 success
user22 purchaseEstate 25 success
user22 purchaseEstate 135 success
user22 purchaseEstate 69 fail
user22 purchaseEstate 27 success
user22 purchaseEstate 35 fail
user10 purchaseEstate 109 success
user12 purchaseEstate 50 success
user6 purchaseEstate 127 fail
user46 purchaseEstate 43 fail
user26 purchaseEstate 19 fail
user41 purchaseEstate 50 fail
user21 purchaseEstate 118 success
user37 purchaseEstate 120 success
user44 purchaseEstate 99 success
user22 purchaseEstate 19 success
user27 purchaseEstate 126 fail
user52 purchaseEstate 54 fail
user9 purchaseEstate 44 fail
user17 purchaseEstate 50 fail
user6 purchaseEstate 114 fail
user26 purchaseEstate 143 success
user23 withdrawRent  success
user54 purchaseEstate 63 success
user49 withdrawRent  success
user8 purchaseEstate 79 fail
user34 purchaseEstate 5 fail
user51 purchaseEstate 83 success
user7 purchaseEstate 40 fail
user19 purchaseEstate 142 success
creator withdrawRent  success
user29 purchaseEstate 112 success
user21 purchaseEstate 12 success
user20 purchaseEstate 93 success
user13 purchaseEstate 62 success
user6 purchaseEstate 113 fail
user6 purchaseEstate 95 fail
user6 purchaseEstate 119 fail
user6 purchaseEstate 56 fail
user14 purchaseEstate 99 fail
user42 purchaseEstate 68 success
user22 purchaseEstate 84 success
user22 purchaseEstate 40 success
user22 purchaseEstate 33 success
user22 purchaseEstate 20 success
user22 purchaseEstate 85 success
user22 purchaseEstate 8 success
user22 purchaseEstate 132 success
user22 purchaseEstate 60 success
user22 purchaseEstate 89 fail
user22 purchaseEstate 83 fail
user22 purchaseEstate 37 success
user22 purchaseEstate 28 success
user22 purchaseEstate 21 success
